text,extracted_award
time for change julianne moore wins best actress in a tv miniseries or movie ,['best actress']
damien lewis wins the globe for best actor tv series or drama ,
lets all listen to safe and sound and hope it wins ,
damien lewis wins well deserved is amazing,
"rt @fashionweeknyc julianne moore wins the golden globe for best actress in a miniseries or tv movie for ""game change"" ",
damian lewis wins for homeland ,
damien lewis wins for best actor drama for homeland apparently the hfpa enjoys small mouthed people ,['best actor drama']
brits doing well so far as damien lewis wins ,
damian lewis wins will claire danes homeland be next ,
damien lewis wins for homeland that reminds me i must catch up with television ,
rt @mharrisperry game change wins i kind of love that ,
damian lewis wins for best supporting ginger who also makes my panties wet runner up ,['best supporting ginger']
i really hope wins something at the ,
rt @660news damian lewis wins best actor for a tv series drama for homeland ,['best actor']
rt @colehaan damian lewis wins for most attractive red head ,
"rt @thr damian lewis wins the for best actor in a tv series drama for ""homeland"" ",['best actor']
homelands @lewisdamian wins the award for best actor in a tv series drama,
the homeland ginger wins hes far sexier when he has an accent and isnt a terrorist ,
neither jon hamm nor bryan cranston wins best actor in a tv show i disagree ,['best actor']
rt @hollywoodlife woohoo damian lewis wins for at the ,
damian lewis wins best actor tv series or drama for homeland ,['best actor tv series']
damian lewis homeland wins best actor tv series drama ,['best actor tv series drama']
rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
its ok john hamm wins sexiest man on tv ,
damien lewis wins for homeland ,
damien lewis wins best actor in a tv series for his role in homeland ,['best actor']
"""@washingtonpost damian lewis wins best actor for tv drama ",['best actor']
rt @globalgrind julianne moore wins best actress in a mini series or tv movie ,['best actress']
rt @giteshpandya lack integrity yes but millions pay attention so wins here can add big to global box office,
"golden globe winner damian lewis wins best actor in a tv drama for ""homeland ",['best actor']
damian lewis wins @bostonbronson @corbolcorbo,
rt @dannysullivan damian lewis wins for homeland or did he hmm ,
rt @washingtonpost damian lewis wins best actor for tv drama ,['best actor']
"damian lewis wins for ""homeland"" ",
damian lewis wins for homeland should i be watching it so many rave reviews have turned me off strangely enough ,
rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
rt @washingtonpost damian lewis wins best actor for tv drama ,['best actor']
anne hathaway deserves a golden globe so much i hope she wins i dreamed a dream 3 ,
damian lewis wins for homeland yay ,
no golden globes for me tonight keep me updated on the best and worst dressed oh and also who wins awards,
rt @huffingtonpost christoph waltz wins best supporting actor at ,['best supporting actor']
"rt @thr damian lewis wins the for best actor in a tv series drama for ""homeland"" ",['best actor']
rt @washingtonpost damian lewis wins best actor for tv drama ,['best actor']
hope steven booshemmy wins a gold sphere trophy ,
rt @nbcla homelands @lewisdamian wins the award for best actor in a tv series drama,
damian lewis wins best actor in a drama tv ,['best actor']
so homeland wins its first lets root for zero dark thirty and make it an islamophobic sweep ,
damian lewis wins best actor for homeland dedicated the award to his mother ,['best actor']
rt @washingtonpost damian lewis wins best actor for tv drama ,['best actor']
 most of the wins have been somewhat predictable so far but they are still pretty good wins,
damien lewis wins because hell kill us all if he doesnt then claire danes will go offmeds and eat our skin ,
 damian lewis wins best actor for tv drama ,['best actor']
rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
damian lewis wins best actor tv series for drama for homeland was rooting for jeff daniels but hey ,['best actor tv series']
"damian lewis wins best actor in a tv drama for ""homeland ",['best actor']
rt @rallisp christoph waltz wins best supporting actor for django unchained great actor great movie ,['best supporting actor']
 wins best drama ,['best drama']
 white people gotta have their homelandcomments following superstorm sandy and so it wins,
brody wins again over heisenbergheisenberg needs to pop a cap in that terrorist ,
the survives another year damien lewis wins ,
damian lewis also wins the golden globe for tiniest mouth on a human being congrats brody ,
rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
homeland wins best tv series drama ,['best tv series drama']
rt @etcanada damian lewis wins will claire danes homeland be next ,
 wins again best tv series drama ,['best tv series drama']
homeland wins again ,
golden globes 2013 no thanks to the teleprompter homeland wins for best tv series drama,['best tv series drama']
live updates game change wins golden globes for tv movie julianne moore baltmoresun ,
 wins ,
homeland wins ,
homeland wins so far my predictions are going well ,
homeland wins yessssssssssss ,
rt @nbc homeland wins best television series drama ,['best television series drama']
homeland wins for best tv series ,['best tv series']
 wins best tv drama ,['best tv drama']
rt @collifern i really hope wins something at the ,
