,text,spacy
413,rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
414,rt @washingtonpost christoph waltz wins best supporting actor for unchained ,
415,rt @brendonwalsh katherine bigelow wins the leni riefenstahl award for excellence in propaganda ,
416,rt @kerryreichs catherine zeta jones wins the first awkward moment by singing and making me uncomfortable ,zeta jones
417,golden globes 2013 christoph waltz wins best supporting actor globe for django unchained tina fey and amy po ,
418, salma hayek thought it was a theme party also she wins,
419,hoping jeff daniels wins for newsroom ,jeff daniels
420,homeland wins and thus gingers win their civil rights activism for souls ,
421,damian lewis wins for the best show on television ,
422,rt @abcnewsent damian lewis wins best actor tv series or drama his first win 3rd nom ,
423,damian lewis wins and i havent missed yet either im psychic or the hfpa are super predictable its the latter ,
424,time for change julianne moore wins best actress in a tv miniseries or movie ,julianne moore
425,damien lewis wins the globe for best actor tv series or drama ,damien lewis
426,lets all listen to safe and sound and hope it wins ,
427,damien lewis wins well deserved is amazing,
428,"rt @fashionweeknyc julianne moore wins the golden globe for best actress in a miniseries or tv movie for ""game change"" ",rt @fashionweeknyc julianne moore
429,damian lewis wins for homeland ,
430,damien lewis wins for best actor drama for homeland apparently the hfpa enjoys small mouthed people ,
431,brits doing well so far as damien lewis wins ,
432,damian lewis wins will claire danes homeland be next ,
433,damien lewis wins for homeland that reminds me i must catch up with television ,damien lewis
434,rt @mharrisperry game change wins i kind of love that ,
435,damian lewis wins for best supporting ginger who also makes my panties wet runner up ,
436,i really hope wins something at the ,
437,rt @660news damian lewis wins best actor for a tv series drama for homeland ,
438,rt @colehaan damian lewis wins for most attractive red head ,rt @colehaan
439,"rt @thr damian lewis wins the for best actor in a tv series drama for ""homeland"" ",rt @thr damian lewis
440,homelands @lewisdamian wins the award for best actor in a tv series drama,homelands @lewisdamian
441,the homeland ginger wins hes far sexier when he has an accent and isnt a terrorist ,
442,neither jon hamm nor bryan cranston wins best actor in a tv show i disagree ,jon hamm
443,rt @hollywoodlife woohoo damian lewis wins for at the ,@hollywoodlife
444,damian lewis wins best actor tv series or drama for homeland ,
445,damian lewis homeland wins best actor tv series drama ,
446,rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
447,its ok john hamm wins sexiest man on tv ,john hamm
448,damien lewis wins for homeland ,
449,damien lewis wins best actor in a tv series for his role in homeland ,damien lewis
450,"""@washingtonpost damian lewis wins best actor for tv drama ",
451,rt @globalgrind julianne moore wins best actress in a mini series or tv movie ,julianne moore
452,rt @giteshpandya lack integrity yes but millions pay attention so wins here can add big to global box office,millions
453,"golden globe winner damian lewis wins best actor in a tv drama for ""homeland ",
454,damian lewis wins @bostonbronson @corbolcorbo,
455,rt @dannysullivan damian lewis wins for homeland or did he hmm ,
456,rt @washingtonpost damian lewis wins best actor for tv drama ,rt @washingtonpost damian lewis
457,"damian lewis wins for ""homeland"" ",
458,damian lewis wins for homeland should i be watching it so many rave reviews have turned me off strangely enough ,
459,rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
460,rt @washingtonpost damian lewis wins best actor for tv drama ,rt @washingtonpost damian lewis
461,anne hathaway deserves a golden globe so much i hope she wins i dreamed a dream 3 ,anne hathaway
462,damian lewis wins for homeland yay ,
463,no golden globes for me tonight keep me updated on the best and worst dressed oh and also who wins awards,
464,rt @huffingtonpost christoph waltz wins best supporting actor at ,
465,"rt @thr damian lewis wins the for best actor in a tv series drama for ""homeland"" ",rt @thr damian lewis
466,rt @washingtonpost damian lewis wins best actor for tv drama ,rt @washingtonpost damian lewis
467,hope steven booshemmy wins a gold sphere trophy ,steven booshemmy
468,rt @nbcla homelands @lewisdamian wins the award for best actor in a tv series drama,
469,damian lewis wins best actor in a drama tv ,
470,so homeland wins its first lets root for zero dark thirty and make it an islamophobic sweep ,
471,damian lewis wins best actor for homeland dedicated the award to his mother ,
472,rt @washingtonpost damian lewis wins best actor for tv drama ,rt @washingtonpost damian lewis
473, most of the wins have been somewhat predictable so far but they are still pretty good wins,
474,damien lewis wins because hell kill us all if he doesnt then claire danes will go offmeds and eat our skin ,
475, damian lewis wins best actor for tv drama ,
476,rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
477,damian lewis wins best actor tv series for drama for homeland was rooting for jeff daniels but hey ,
478,"damian lewis wins best actor in a tv drama for ""homeland ",
479,rt @rallisp christoph waltz wins best supporting actor for django unchained great actor great movie ,
480, wins best drama ,
481, white people gotta have their homelandcomments following superstorm sandy and so it wins,
482,brody wins again over heisenbergheisenberg needs to pop a cap in that terrorist ,
483,the survives another year damien lewis wins ,
484,damian lewis also wins the golden globe for tiniest mouth on a human being congrats brody ,
485,rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
486,homeland wins best tv series drama ,
487,rt @etcanada damian lewis wins will claire danes homeland be next ,rt @etcanada damian lewis wins
488, wins again best tv series drama ,
489,homeland wins again ,
490,golden globes 2013 no thanks to the teleprompter homeland wins for best tv series drama,
491,live updates game change wins golden globes for tv movie julianne moore baltmoresun ,
492, wins ,
493,homeland wins ,
494,homeland wins so far my predictions are going well ,
495,homeland wins yessssssssssss ,
496,rt @nbc homeland wins best television series drama ,
497,homeland wins for best tv series ,
498, wins best tv drama ,
499,rt @collifern i really hope wins something at the ,rt @collifern
500,ooooo wins best show on the tube i can dig it ,
501,rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
502,homeland wins best tv drama ,
503,homeland wins ,
504,homeland wins best drama tv mandy patinkin is pleased claire danes is probably crying ,
505,rt @abcnewsent damian lewis wins best actor tv series or drama his first win 3rd nom ,
506,rt @tvguide homeland continues its streak wins best tv drama ,
507,homeland wins again for best tv series drama ,
508, wins because that show is the shizzz ,
509, love the wins for @shohomeland congrats,
510,rt @tvguide homeland continues its streak wins best tv drama ,
511,rt @nbc homeland wins best television series drama ,
512, wins best series brody is british,
513,rt @nbcwashington @lewisdamian wins best actor in a tv series drama ,
514,yeesssssss n @shohomeland wins again ,yeesssssss n @shohomeland
515,"rt @variety winner ""homeland"" wins best tv drama ",
516,homeland wins yayayay,
517,homeland wins best drama definitely a lot of deserving nominees this year ,
518,rt @tvguide homeland continues its streak wins best tv drama ,
519,homeland wins so many good shows in that category ,
520,rt @nbc homeland wins best television series drama ,
521,"rt @variety winner ""homeland"" wins best tv drama ",
522,omg homeland wins best drama and best lead actor here too an emmy and a golden globe in 1 year maybe i should check it out ,
523,rt @tvguide homeland continues its streak wins best tv drama ,
524,homeland wins at ,
525,yessss homeland wins again see i told yall that was a good show in your face haters ,
526,"rt @variety winner damian lewis wins best actor in a tv drama for ""homeland ",
527,"""@tvguide homeland continues its streak wins best tv drama ",
528,rt @washingtonpost wins best tv series drama ,rt @washingtonpost
529,more congratulations as wins best tv drama series ,
530,great show rt @theroot247 homeland wins best tv drama series at ,
531,rt @tvdonewright homeland wins best drama the real drama will be the critics reaction breaking bad should have won this ,
532,homeland wins best tv drama much much deserved ,
533,i have to watch homeland the show wins tv drama series ,
534,"rt @stillnsync ""@theonion justin timberlake wins golden globe for funniest goofball at his table ",
535,im going to be disappointed every time something wins over downton lets face it its the best show in the history of tv ,
536,"""homeland"" wins golden something for best something ",
537,@twitter reps will now say president obama orchestrated the wins for @golden globes ,obama
538,"lindona trs chic rt @vanityfair julianne moore wins best actress and first person to ""give a shoutout"" at the ",julianne moore
539,homeland wins best television series drama ,
540,rt @washingtonpost wins best tv series drama ,rt @washingtonpost
541, damian lewis wins for ,
542,rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
543,aww no wins for the newsroom makes the hiatus more difficult ,
544,rt @skynewspip breaking brit damien lewis wins best actor in a drama at the golden globes in la,
545,"rt @todayshow ""homeland"" wins the for best tv series drama do you agree ",
546,homeland wins two awards in row and ive never seen it guess i should see what the hubbub is all about ,
547,filmed in charlotte nc @shohomeland wins best tv series golden globe award congrats @goldenglobes @missmorenab @lewisdamian,
548,rt @pranganathan damian lewis wins best actor in a tv drama series for ,rt @pranganathan damian lewis wins
549, strikes again wins as tvs best drama left on cutting room floor,
550,homeland wins best tv drama really wanted breaking bad to win oh well at least it wasnt a downton abbey win ,
551,rt @okmagazine damian lewis wins best actor tv series drama for ,
552, homeland wins best drama series ,
553,"rt @todayshow ""homeland"" wins the for best tv series drama do you agree ",
554,"rt @thr ""homeland"" wins the for best tv series drama ",
555,"""homeland"" wins the for best tv series drama ",
556,"rt @thr ""homeland"" wins the for best tv series drama ",
557,"rt @thr ""homeland"" wins the for best tv series drama ",
558,"no ""@todayshow ""homeland"" wins the for best tv series drama do you agree ",
559,rt @shewired homeland wins best drama at least somebody knew enough to thank the other cast like claire danes tg ,
560,"""@washingtonpost wins best tv series drama ",
561,"rt @fashionweeknyc ""homeland"" wins the golden globe for best tv drama ",
562,thats two the newsroom missed wins already both to homeland ,
563,"rt @marcelotas lindona trs chic rt @vanityfair julianne moore wins best actress and first person to ""give a shoutout"" at the ",julianne moore
564,i hope quentin tarantino wins a golden globe and loses his baby teeth ,quentin tarantino
565,"rt @fashionweeknyc ""homeland"" wins the golden globe for best tv drama ",
566,"agreed best show ever ""@alibtaub wins again its getting the recognition it deserves ",
567,not surprised by wins just more reasons i need to see that show ,
568,wootwoot homeland wins best telelvision series at the golden globes hurrah for homeland ,
569,"rt @fashionweeknyc ""homeland"" wins the golden globe for best tv drama ",
570,"rt @todayshow ""homeland"" wins the for best tv series drama do you agree ",
571,rt @thr 2013 christoph waltz wins best supporting actor globe for django unchained ,
572,"rt @theatlanticwire ""homeland wins for best drama after awkward technical mishap aaron sorkin looks none too pleased"" live ",aaron sorkin
573,damian lewis wins best actor in tv series drama golden globes 2013 ,
574,"rt @thr ""homeland"" wins the for best tv series drama ",
575,"rt @thr ""homeland"" wins the for best tv series drama ",
576,"rt @fashionweeknyc ""homeland"" wins the golden globe for best tv drama ",
577,rt @mrbateslegal maggie smith wins ,
578,well deserved homeland wins tonight for best television series drama hoo,
579,rt @thr 2013 christoph waltz wins best supporting actor globe for django unchained ,
580,another spoiler homeland wins for best wellspoken cast ,
581,rt @indiewire homeland wins best actor and best drama series check out our running golden globes winner list ,
582, for the wins ,
583, rt @washingtonpost wins best tv series drama ,
584,christoph waltz wins an award from the foreign press shocker ,
585,ugh claire danes is so boring that im getting disappointed w wins ,ugh claire
586,1010 a rt @blitznbeans i hope quentin tarantino wins a golden globe and loses his baby teeth ,quentin tarantino
587,"rt @huffingtonpost ""homeland"" wins best drama at the ",
588,"im also hoping that claire danes says ""holla mandy patinkin"" for the second time when she wins later on tonight ",tonight
589,rt @blitznbeans i hope quentin tarantino wins a golden globe and loses his baby teeth ,quentin tarantino
590,rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
591,"rt @huffingtonpost ""homeland"" wins best drama at the ",
592,"rt @huffingtonpost ""homeland"" wins best drama at the ",
593, 2013 golden globes maggie smith wins for downton abbey the starledger dont 4get to ff me,
594,2013 golden globes maggie smith wins for downton abbey the starledger ,
595,have 0 interest in golden globes but great to see from my timeline wins by christoph waltz and julianne moore both absolutely brilliant,
596,2013 golden globes maggie smith wins for downton abbey the starledger ,
597,rt @jlawrenceaddict jennifer derping at the golden globes was the highlight of my year so far its just so great imagine what shell be like when she wins,
598,"rt @huffingtonpost ""homeland"" wins best drama at the ",
599,"rt @todayshow ""homeland"" wins the for best tv series drama do you agree ",
600,rt @usatoday julianne moore wins best actress in miniseriestv movie for were updating winners here ,julianne moore
601,"rt @huffingtonpost ""homeland"" wins best drama at the ",
602,golden globes homelands damian lewis wins homeland star damian lewis has been named best actor at the golden ,homeland star damian lewis
603,entertainment golden globes homelands damian lewis wins homeland star damian lewis has been named be ,homeland star damian lewis
604,golden globes homelands damian lewis wins deserved ,
605,"rt @huffingtonpost ""homeland"" wins best drama at the ",
606,rt @aol homeland wins the best tv series drama rt if you think it is well deserved,
607,jennifer lawrence wins best dress i hope she wins for best supporting actress in silver linings playbook too ,jennifer lawrence
608,"rt @huffingtonpost ""homeland"" wins best drama at the ",
609,"rt @thr ""homeland"" wins the for best tv series drama ",
610,"rt @thr ""homeland"" wins the for best tv series drama ",
611,"rt @huffingtonpost ""homeland"" wins best drama at the ",
612,"rt @huffingtonpost ""homeland"" wins best drama at the ",
613,"rt @huffingtonpost ""homeland"" wins best drama at the ",
614,"yes rt @todayshow ""homeland"" wins the for best tv series drama do you agree ",
615,rt @vulture hope homeland wins eight more times tonight that wasnt enough jazz ,
616,christoph waltz wins ok dont care bout the rest ,
617,"rt @todayshow ""homeland"" wins the for best tv series drama do you agree ",
618,homeland wins back2back golden globes 4 best drama and an emmy in between wow congrats to my redhaired brother diego klattenhoff,
619,"rt @thr damian lewis wins the for best actor in a tv series drama for ""homeland"" ",rt @thr damian lewis
620,"rt @todayshow ""homeland"" wins the for best tv series drama do you agree ",
621,"yessss ""@todayshow ""homeland"" wins the for best tv series drama do you agree ",
622,"""@huffingtonpost ""homeland"" wins best drama at the ",
623,"rt @huffingtonpost ""homeland"" wins best drama at the ",
624,"rt @todayshow ""homeland"" wins the for best tv series drama do you agree ",
625,rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
626,"rt @huffingtonpost ""homeland"" wins best drama at the ",
627,"brian cranston needs to go all heisenberg ""im the one who wins"" ",brian cranston
628,rt @skynewspip breaking brit damien lewis wins best actor in a drama at the golden globes in la,
629,rt @aol homeland wins the best tv series drama rt if you think it is well deserved,
630,rt @vulture hope homeland wins eight more times tonight that wasnt enough jazz ,
631,rt @vanityfair maggie smith as predicted wins supporting actress in tv for @downtonabbey sadly she is not at the to make a speech,smith
632, is a baby therell be more than enough time for future wins ,
633,"rt @fashionweeknyc ""homeland"" wins the golden globe for best tv drama ",
634,"rt @huffingtonpost ""homeland"" wins best drama at the ",
635,"rt @marcelotas lindona trs chic rt @vanityfair julianne moore wins best actress and first person to ""give a shoutout"" at the ",julianne moore
636, wins best tv series drama my choice too damn the wondrously named looks tasty,
637,rt @tvguide homeland continues its streak wins best tv drama ,
638,rt @moviesndtv 2013 christoph waltz wins best supporting actor for django unchained,
639,i hope les miserables wins a lot of awards though ,
640,rt @fuckjelenadrama but selenas nominated for two golden globes yall prayer circle she wins at least one ,rt @fuckjelenadrama
641,"rt @huffingtonpost ""homeland"" wins best drama at the ",
642,"rt @todayshow ""homeland"" wins the for best tv series drama do you agree ",
643,live updates game change wins golden globes for tv movie julianne moore tina fey and amy poehler are bringing the funny to the 7,
644,"live updates game change wins golden globes for tv movie julianne moore hbos ""game change"" continues its winning ways",
645,"live updates game change wins golden globes for tv movie julianne moore hbos ""game change"" continues its winning ways",
646,golden globes 2013 christoph waltz wins first award for django austrianborn actor christoph waltz and writerdirector quentin ta,christoph waltz
647,"rt @thr christoph waltz wins the golden globe for best supporting actor in ""django unchained"" ",
648,golden globes 2013 christoph waltz wins first award for django austrianborn actor christoph waltz and writerdirector quentin ta,christoph waltz
649," @damienlewis wins the golden globe for ""best american accent by a brit in a major tv series"" ever",
650,rt @washingtonpost wins best tv series drama ,rt @washingtonpost
651,"rt @huffingtonpost ""homeland"" wins best drama at the ",
652,"rt @huffingtonpost ""homeland"" wins best drama at the ",
653,rt @moviesndtv 2013 christoph waltz wins best supporting actor for django unchained,
654,i hope argo wins just to spite the oscars ,
655,god the golden globes is such a shit awards show only watching to make sure les mis wins as they rightfully should,
656,"rt @thr ""homeland"" wins the for best tv series drama ",
657,"rt @huffingtonpost ""homeland"" wins best drama at the ",
658,rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
659,rt @aol homeland wins the best tv series drama rt if you think it is well deserved,
660,rt @dannymoney i know i shouldnt feel bad for the good looking famous big dicked jon hamm but the dude never wins for playing draper ,
661,rt @wsjspeakeasy homeland wins best tv series drama ,
662,rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
663,rt @haydenblack fun fact julianna moore wins for being sarah palin while sarah palin loses for being sarah palin ,julianna moore
664,rt @hollywoodcom secretly i hope fargo somehow wins best picture due to a typo ,
665,rt @vulture hope homeland wins eight more times tonight that wasnt enough jazz ,
666,rt @hkwagner im going to be disappointed every time something wins over downton lets face it its the best show in the history of tv ,
667, wins best original score motion picture ,
668, life of pi mychael danna wins for best original score motion picture @knx1070,
669,"""@thr ""homeland"" wins the for best tv series drama great show well deserved",
670,"rt @huffingtonpost ""homeland"" wins best drama at the ",
671,rt @knxdavid life of pi mychael danna wins for best original score motion picture @knx1070,
672,life of pi wins best score ,
673,rt @nchollywoodnews filmed in charlotte nc @shohomeland wins best tv series golden globe award congrats @goldenglobes @missmorenab @lewisdamian,
674,this better be the only award life of pi wins tonight ,
675,jlo wins ,
676,everytime life of pi wins an award it makes me that much less interested to see it backwards right ,
677,jennifer lopez wins the award for hottest doily ever ,
678,canada wins at the way to go mychael danna for best score for life of pi,canada
679,got to see at employee appreciation event great movie hope it wins ,
680,love the best score category but my favorite never wins and thats okay ,
681,"rt @huffingtonpost ""homeland"" wins best drama at the ",
682,"rt @thr ""homeland"" wins the for best tv series drama ",
683,apparently everyone but me is watching the golden globes just tell me who wins high level,
684,rt @vanityfair life of pi composer mychael danna or bj novak in 20 years wins for best score at the ,
685,rt @proteautype bill murray wins best facial hair of the night and the 19th century ,bill murray
686,ang lee wins the golden globe for cutest human ever ,ang lee
687,life of pi wins best score poor cloud atlas ,
688,"""@vulture life of pi wins best original score""",
689,w00t r @chrisknightfilm canadian mychael danna wins for score of life of pi,mychael danna
690,rt @ap homeland wins golden globe for best tv drama series rjj,
691,great score rt @vulture life of pi wins best original score ,
692,rt @vanityfair life of pi composer mychael danna or bj novak in 20 years wins for best score at the ,
693,"yay rt @huffpostent mychael danna wins best score for ""life of pi"" ",mychael danna
694,rt @etcanada canada wins at the way to go mychael danna for best score for life of pi,rt @etcanada canada
695,oh lord if taylor wins this im done ,taylor
696,rt @chrisknightfilm canadian mychael danna wins for score of life of pi,mychael danna
697,woot rt @etcanada canada wins at the way to go mychael danna for best score for life of pi,woot rt @etcanada canada
698,rt @rallisp life of pi wins best original score sure why not ,
699,michael danna wins best original score for life of pi ,michael danna
700,skyfall wins ,
701,golden globes 2013 christoph waltz wins best supporting actor globe for django unchained tina fey and amy po ,
702,i really want to know who wins best soundtrack score for the golden globes tonight ,tonight
703,golden globes 2013 christoph waltz wins best supporting actor globe for django unchained tina fey and amy po ,
704,hollywood reporter golden globes 2013 christoph waltz wins best supporting actor globe for django unchained ,
705,"rt @thr damian lewis wins the for best actor in a tv series drama for ""homeland"" ",rt @thr damian lewis
706,golden globes 2013 christoph waltz wins best supporting actor globe for django unchained tina fey and amy poehler kicked off the ,
707,the hilarity when the guy who wins for original score gets played off the stage,
708,rt @etcanada canada wins at the way to go mychael danna for best score for life of pi,rt @etcanada canada
709,rt @vanityfair life of pi composer mychael danna or bj novak in 20 years wins for best score at the ,
710,"rt @variety winner ""life of pi"" wins best original score ",
711,something about bon jovi and christopher walken in the same movie awesome but i hope adele wins ,christopher
712,rt @kristenwarner if t swift wins i will burn this place down ,rt @kristenwarner
713,rt @bbcnewsus dame wins at best supporting actress in a tv movie series or miniseries for ,
714,i bet adele wins ,
715,lemme guess adele wins right ,
716,adele wins this ,
717,crossing my fingers madonna wins again for best song for we ,
718,if taylor swift wins over adele for best original song at the golden globes ill be pissed,
719,rt @skynews golden globes homelands damian lewis wins ,
720,"boo rt @huffingtonpost ""homeland"" wins best drama at the ",
721,"rt @todayshow ""homeland"" wins the for best tv series drama do you agree ",
722,"adeles ""skyfall"" wins best original score ",
723,life of pi wins best score adele takes best song for skyfall ,
724,adele wins all the awards ,
725,yes the queen wins again ,
726,rt @wsjspeakeasy skyfall by adele wins best original song motion picture ,
727,hooray the lady wins adele ,
728,whoo adele wins ,
729,adele wins all the awards always ,
730,rt @kristenwarner if t swift wins i will burn this place down ,rt @kristenwarner
731,rt @buzzfeed adele wins ,
732,adele wins ,
733,yeah adele wins ,
734,well duh adele wins them all maam ,
735,adele wins for skyfall ,
736,skyfall wins best song at the haters gotta hate,
737,skyfall wins yay adele i love that song ,
738,adele wins for skyfall and she gets to eat dinner thats a win,
739,adele wins over taylor swift justice is served ,
740,rt @vanityfair life of pi composer mychael danna or bj novak in 20 years wins for best score at the ,
741,adele wins at life ,
742,zero surprise that adele wins ,
743,"rt @nbc ""skyfall"" from skyfall wins for best original song motion picture ",
744,and adele wins ,
745,of course adele wins for ,
746,yes adele wins for skyfallgreat record ,
747,adele wins the award for first british person i want to see win a ,first
748,"rt @nbc ""skyfall"" from skyfall wins for best original song motion picture ",
749,yayyyy adele wins best original song for skyfall ,
750,"""@nbc ""skyfall"" from skyfall wins for best original song motion picture tough category but im so happy she won",
751,yess adele wins ,
752,rt @vulture adele wins best original song for skyfall because it is not possible for adele to lose an award ,
753,adele skyfalls wins ,
754,"rt @nbc ""skyfall"" from skyfall wins for best original song motion picture ",
755,"""skyfall"" wins best original song awesome song ",
756,when wins a for best original score we all win ,
757,adele wins for skyfall best bond theme in a generation ,
758,yes adele wins for best song d ,
759,julianne moore wins the game for best actress in a miniseries or made for tv movie at the ,julianne moore
760,"rt @thr ""skyfall"" from ""skyfall"" wins the for best original song in a motion picture ",
761,this lady adele even wins golden globes ,
762,adele wins best song for skyfall and the rest of tonights winners right here ,
763,rt @washingtonpost adeles wins best original song for motion picture ,
764,"adele wins best original song for ""skyfall"" ",
765,rt @washingtonpost adeles wins best original song for motion picture ,
766,thats my girl adele wins golden globes told you @officialadele that we got this,
767,"rt @thr ""skyfall"" from ""skyfall"" wins the for best original song in a motion picture ",
768,"from ""skyfall"" rt @thr ""skyfall"" from ""skyfall"" wins the for best original song in a motion picture ",
769,"""@thr ""skyfall"" from ""skyfall"" wins the for best original song in a motion picture ",
770,"""@todayshow ""homeland"" wins the for best tv series drama do you agree yes",
771,yes wins for with best song at the ,
772,adele wins for best winners reaction ,
773,yes wins for @goldenglobes,
774,wow wins at the im happy for her shes very talented,
775,yes skyfall wins best bond song ever ,
776,rt @vulture adele wins best original song for skyfall because it is not possible for adele to lose an award ,
777,"@huffpostent ""skyfall"" by adele wins best song unsurprisingly seriously adele should sing the theme song for every movie ",
778,rt @tvguide adele wins for best winners reaction ,
779,rt @etonlinealert adele adds a globe to all of her grammy wins keep up with the celebrated new mommy at et ,rt @etonlinealert adele
780,adele wins all awards adele will win your souls ,
781,rt @vulture adele wins best original song for skyfall because it is not possible for adele to lose an award ,
782,"if you have not seen this movie go now rt @nbc ""skyfall"" from skyfall wins for best original song motion picture ",
783,of course adele wins shes back like she never left ,
784,adele gets so ratchet when she wins an award i love it ,
785,was there any doubt skyfall wins adele gives the best acceptance speeches ,
786,deserved rt @globalgrind yay adeles skyfall wins best original song ,
787,"rt @marieclaire new mum adele wins for ""skyfall"" and we couldnt be more excited unless clearly we were adele ",
788,adele wins good choice skyfall is an amazing song by her ,
789,rt @tvguide adele wins for best winners reaction ,
790,adele wins the ,
791,adele wins best original song for skyfall shes so excited and kept speech short lovely,
792,safe and sound still wins in my book but congrats to adele her acceptance speech made me smile,
793,yesss queen a wins ,
794,rt @jkrollie i love when adele wins thingsshes so happy and humble ,rt @jkrollie
795,rt @tvguide adele wins for best winners reaction ,
796,rt @tvguide adele wins for best winners reaction ,
797,adele wins best song for skyfall live updates ,
798,rt @amwithenshaw dont call it a comeback wins best original song for skyball ,rt @amwithenshaw
799,adele wins best original song write a song about it t swift ,
800,adele wins for skyfall ,
801,lol skyball rt @amwithenshaw dont call it a comeback wins best original song for skyball ,
802,"""@ap homeland wins golden globe for best tv drama series rjj"" brody ",
803,yay rt@wsjspeakeasy skyfall by adele wins best original song motion picture ,
804,adele for all of the wins ,
805,"rt @thr ""skyfall"" from ""skyfall"" wins the for best original song in a motion picture ",
806,"rt @hollywoodlife adele wins best original song for ""skyfall"" at the sorry taytay via @andyswift",
807,so not only does adele win everything at the grammys but she wins an award at the golden globes too,
808,rt @skynewspip breaking british singer adele wins best original song at the golden globes in la for skyfall ,
809,"adeles ""skyfall"" wins for best original song motion picture ",
810,skyfall wins best song in movie at the yes if les mis would of win then she cusses on stage ,
811,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
812,skyfall wins best song ,
813,"rt @nbc ""skyfall"" from skyfall wins for best original song motion picture ",
814,rt @kkjordan james bond and adele just highfived she wins at life ,@kkjordan james bond
815,rt @tvguide adele wins for best winners reaction ,
816,skyfall wins for best original song a movie that should have had a lot more nominations ,
817,adele wins thanks for letting me into your world tonight ive been pissing myself laughing 3 ,tonight
818,yaaaaay @officialadele wins best song at the ,yaaaaay @officialadele
819,"rt @thr ""skyfall"" from ""skyfall"" wins the for best original song in a motion picture ",
820,rt @vulture adele wins best original song for skyfall because it is not possible for adele to lose an award ,
821,how mad is taylor swift right now that she cant do her annoying surprise face whenever she wins an award ,
822,rt @miss604 rt @etcanada canada wins at the way to go mychael danna for best score for life of pi,
823,"when taylor swift isnt the one who wins does the ""ohmygosh i cant believe i won"" thing she gets a not impressed face ",
824, wins for surprise surprise @z1035toronto ,
825,rt @vulture adele wins best original song for skyfall because it is not possible for adele to lose an award ,
826,rt @vulture adele wins best original song for skyfall because it is not possible for adele to lose an award ,
827,rt @vulture adele wins best original song for skyfall because it is not possible for adele to lose an award ,
828, wins best song at the golden globes for skyfall no competition ,
829,adele wins with her amazing theme for ,
830,rt @washingtonpost adeles wins best original song for motion picture ,
831,adele wins her first golden globe for the skyfall soundtrack tinalo pa si jon bon jovi at yung ost ng les miserables ,
832,rt @theweek adele wins best original song for skyfall shes so charming ,
833,rt @cbcalerts canadian wins golden globe award for life of pi score mychael thanks wife friends in toronto ,rt @cbcalerts
834,"rt @thr ""skyfall"" from ""skyfall"" wins the for best original song in a motion picture ",
835,the moment when adele highfives daniel craig after she wins best original song best moment ever ,
836,cool adele wins best song for skyfall ,
837,"rt @marieclaire new mum adele wins for ""skyfall"" and we couldnt be more excited unless clearly we were adele ",
838,rt @washingtonpost adeles wins best original song for motion picture ,
839,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
840,"rt @huffpostceleb ""skyfall"" by adele wins best song unsurprisingly ",
841,rt @tvguide adele wins for best winners reaction ,
842,adele wins for best original song cute acceptance speech just wanted a night out as a new mum leaves with a golden globe ,
843,adele wins @officialadele finally an adele to grace a evening ,
844,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
845,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
846,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
847," rt ""@vulture adele wins best original song for skyfall because it is not possible for adele to lose an award ",
848,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
849,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
850,"""@globalgrind yay adeles skyfall wins best original song such an amazing song",
851,yeah so adele wins the award for being the most adorable person on the planet the fact that she can sing is just a bonus ,
852,who wins an award better than adele genuine surprise and merriment ,
853,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
854,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
855,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
856,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
857,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
858,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
859,rt @nbcnewsent adeles wins best original song in a motion picture ,
860,rt @todayent adeles wins best original song in a motion picture ,
861,christoph waltz wins best supportin actor at golden globes ,christoph waltz
862,rt @cbcalerts canadian wins golden globe award for life of pi score mychael thanks wife friends in toronto ,rt @cbcalerts
863,rt @tvguide adele wins for best winners reaction ,
